DATE,ILICLAIMS
2010-01-02,20572
2010-01-09,28610
2010-01-16,22145
2010-01-23,17310
2010-01-30,20372
2010-02-06,18557
2010-02-13,14699
2010-02-20,15859
2010-02-27,16425
2010-03-06,18886
2010-03-13,15036
2010-03-20,16432
2010-03-27,14560
2010-04-03,16810
2010-04-10,17288
2010-04-17,13709
2010-04-24,13649
2010-05-01,14260
2010-05-08,14911
2010-05-15,16065
2010-05-22,15102
2010-05-29,16011
2010-06-05,17582
2010-06-12,20063
2010-06-19,16352
2010-06-26,15006
2010-07-03,18040
2010-07-10,16713
2010-07-17,19896
2010-07-24,16427
2010-07-31,14371
2010-08-07,15521
2010-08-14,14323
2010-08-21,13976
2010-08-28,11862
2010-09-04,11323
2010-09-11,11458
2010-09-18,17407
2010-09-25,15026
2010-10-02,14280
2010-10-09,16945
2010-10-16,13508
2010-10-23,17218
2010-10-30,16221
2010-11-06,17121
2010-11-13,15914
2010-11-20,19362
2010-11-27,16269
2010-12-04,25553
2010-12-11,24003
2010-12-18,20854
2010-12-25,19007
2011-01-01,19100
2011-01-08,30311
2011-01-15,20156
2011-01-22,16165
2011-01-29,16716
2011-02-05,15003
2011-02-12,13874
2011-02-19,14404
2011-02-26,11810
2011-03-05,14133
2011-03-12,12718
2011-03-19,12992
2011-03-26,13556
2011-04-02,14569
2011-04-09,14587
2011-04-16,12548
2011-04-23,14063
2011-04-30,15400
2011-05-07,14211
2011-05-14,12789
2011-05-21,13277
2011-05-28,14358
2011-06-04,15113
2011-06-11,17430
2011-06-18,14873
2011-06-25,14923
2011-07-02,15205
2011-07-09,13806
2011-07-16,13223
2011-07-23,13054
2011-07-30,12245
2011-08-06,13233
2011-08-13,13616
2011-08-20,13558
2011-08-27,13222
2011-09-03,14059
2011-09-10,11701
2011-09-17,12632
2011-09-24,12786
2011-10-01,13540
2011-10-08,15019
2011-10-15,12494
2011-10-22,14551
2011-10-29,14060
2011-11-05,16576
2011-11-12,15122
2011-11-19,18204
2011-11-26,14442
2011-12-03,22341
2011-12-10,22165
2011-12-17,19073
2011-12-24,23279
2011-12-31,18583
2012-01-07,21156
2012-01-14,19197
2012-01-21,16255
2012-01-28,15434
2012-02-04,16195
2012-02-11,14883
2012-02-18,13111
2012-02-25,12896
2012-03-03,14196
2012-03-10,12906
2012-03-17,11967
2012-03-24,11882
2012-03-31,12806
2012-04-07,15129
2012-04-14,13138
2012-04-21,12833
2012-04-28,14345
2012-05-05,14519
2012-05-12,13203
2012-05-19,13086
2012-05-26,14884
2012-06-02,14245
2012-06-09,16080
2012-06-16,14084
2012-06-23,13696
2012-06-30,12893
2012-07-07,15479
2012-07-14,13423
2012-07-21,13038
2012-07-28,12188
2012-08-04,13353
2012-08-11,12130
2012-08-18,12165
2012-08-25,11426
2012-09-01,11694
2012-09-08,11641
2012-09-15,11786
2012-09-22,12049
2012-09-29,12314
2012-10-06,14114
2012-10-13,13583
2012-10-20,14188
2012-10-27,14001
2012-11-03,14574
2012-11-10,15145
2012-11-17,15684
2012-11-24,15274
2012-12-01,23752
2012-12-08,21799
2012-12-15,19707
2012-12-22,23152
2012-12-29,20397
2013-01-05,18099
2013-01-12,19620
2013-01-19,19005
2013-01-26,14140
2013-02-02,15575
2013-02-09,14238
2013-02-16,10953
2013-02-23,12735
2013-03-02,12974
2013-03-09,11802
2013-03-16,11444
2013-03-23,12032
2013-03-30,14181
2013-04-06,15761
2013-04-13,13306
2013-04-20,12110
2013-04-27,13854
2013-05-04,14053
2013-05-11,13860
2013-05-18,12662
2013-05-25,13627
2013-06-01,13597
2013-06-08,16961
2013-06-15,13560
2013-06-22,12262
2013-06-29,12647
2013-07-06,12967
2013-07-13,13213
2013-07-20,13596
2013-07-27,12971
2013-08-03,11972
2013-08-10,11946
2013-08-17,11641
2013-08-24,11591
2013-08-31,11834
2013-09-07,11472
2013-09-14,11911
2013-09-21,11306
2013-09-28,11056
2013-10-05,11913
2013-10-12,14091
2013-10-19,11194
2013-10-26,13654
2013-11-02,13783
2013-11-09,14131
2013-11-16,13513
2013-11-23,16151
2013-11-30,13757
2013-12-07,19038
2013-12-14,22724
2013-12-21,19215
2013-12-28,19036
2014-01-04,17846
2014-01-11,22102
2014-01-18,16963
2014-01-25,14479
2014-02-01,13906
2014-02-08,14547
2014-02-15,11767
2014-02-22,10193
2014-03-01,11982
2014-03-08,12572
2014-03-15,10252
2014-03-22,10487
2014-03-29,11428
2014-04-05,12648
2014-04-12,12077
2014-04-19,10657
2014-04-26,10136
2014-05-03,10782
2014-05-10,10244
2014-05-17,11105
2014-05-24,9698
2014-05-31,10352
2014-06-07,13600
2014-06-14,13305
2014-06-21,11978
2014-06-28,10735
2014-07-05,11072
2014-07-12,12607
2014-07-19,10697
2014-07-26,9516
2014-08-02,9766
2014-08-09,10306
2014-08-16,8864
2014-08-23,9477
2014-08-30,8844
2014-09-06,9756
2014-09-13,9118
2014-09-20,8795
2014-09-27,8372
2014-10-04,9687
2014-10-11,10016
2014-10-18,9684
2014-10-25,10268
2014-11-01,10271
2014-11-08,12895
2014-11-15,13817
2014-11-22,18100
2014-11-29,14741
2014-12-06,18124
2014-12-13,14772
2014-12-20,15954
2014-12-27,17616
2015-01-03,15905
2015-01-10,21674
2015-01-17,17157
2015-01-24,11406
2015-01-31,11642
2015-02-07,12918
2015-02-14,9965
2015-02-21,12742
2015-02-28,11951
2015-03-07,11474
2015-03-14,9513
2015-03-21,9396
2015-03-28,9945
2015-04-04,11957
2015-04-11,10955
2015-04-18,9318
2015-04-25,9811
2015-05-02,9172
2015-05-09,10032
2015-05-16,9384
2015-05-23,9852
2015-05-30,9637
2015-06-06,12645
2015-06-13,11862
2015-06-20,11047
2015-06-27,11372
2015-07-04,10620
2015-07-11,14510
2015-07-18,10467
2015-07-25,9734
2015-08-01,8635
2015-08-08,10677
2015-08-15,9191
2015-08-22,8988
2015-08-29,9574
2015-09-05,10403
2015-09-12,8417
2015-09-19,8552
2015-09-26,9423
2015-10-03,9298
2015-10-10,10546
2015-10-17,9172
2015-10-24,10415
2015-10-31,12211
2015-11-07,12352
2015-11-14,10971
2015-11-21,14588
2015-11-28,14366
2015-12-05,19300
2015-12-12,15250
2015-12-19,17204
2015-12-26,18415
2016-01-02,14782
2016-01-09,19432
2016-01-16,16070
2016-01-23,12901
2016-01-30,17993
2016-02-06,12490
2016-02-13,10141
2016-02-20,10555
2016-02-27,10041
2016-03-05,10737
2016-03-12,9503
2016-03-19,9837
2016-03-26,10322
2016-04-02,11062
2016-04-09,10800
2016-04-16,9169
2016-04-23,14158
2016-04-30,9681
2016-05-07,10326
2016-05-14,9623
2016-05-21,10482
2016-05-28,11699
2016-06-04,11270
2016-06-11,11802
2016-06-18,9728
2016-06-25,9107
2016-07-02,10530
2016-07-09,10239
2016-07-16,9850
2016-07-23,10330
2016-07-30,8872
2016-08-06,9455
2016-08-13,8870
2016-08-20,8742
2016-08-27,8493
2016-09-03,12417
2016-09-10,8028
2016-09-17,8278
2016-09-24,7621
2016-10-01,8113
2016-10-08,9368
2016-10-15,7611
2016-10-22,9354
2016-10-29,8972
2016-11-05,10226
2016-11-12,7694
2016-11-19,13275
2016-11-26,12618
2016-12-03,17013
2016-12-10,19800
2016-12-17,19699
2016-12-24,16784
2016-12-31,14437
2017-01-07,18620
2017-01-14,16478
2017-01-21,11558
2017-01-28,11865
2017-02-04,10978
2017-02-11,9625
2017-02-18,8971
2017-02-25,7637
2017-03-04,10189
2017-03-11,8912
2017-03-18,9329
2017-03-25,8172
2017-04-01,10232
2017-04-08,11018
2017-04-15,9065
2017-04-22,8303
2017-04-29,8955
2017-05-06,9860
2017-05-13,8825
2017-05-20,8783
2017-05-27,10058
2017-06-03,10302
2017-06-10,11337
2017-06-17,9371
2017-06-24,8652
2017-07-01,9513
2017-07-08,9954
2017-07-15,9710
2017-07-22,8264
2017-07-29,7823
2017-08-05,8714
2017-08-12,8312
2017-08-19,8173
2017-08-26,7528
2017-09-02,8303
2017-09-09,7657
2017-09-16,7806
2017-09-23,7549
2017-09-30,7457
2017-10-07,9443
2017-10-14,7692
2017-10-21,8337
2017-10-28,8938
2017-11-04,10456
2017-11-11,9114
2017-11-18,12933
2017-11-25,10412
2017-12-02,15427
2017-12-09,16838
2017-12-16,16346
2017-12-23,16243
2017-12-30,17248
2018-01-06,18055
2018-01-13,14574
2018-01-20,9645
2018-01-27,10426
2018-02-03,9990
2018-02-10,10170
2018-02-17,8139
2018-02-24,8353
2018-03-03,8820
2018-03-10,8214
2018-03-17,7734
2018-03-24,7885
2018-03-31,10389
2018-04-07,9908
2018-04-14,8916
2018-04-21,8463
2018-04-28,7818
2018-05-05,8063
2018-05-12,7914
2018-05-19,7872
2018-05-26,8789
2018-06-02,10356
2018-06-09,10612
2018-06-16,8428
2018-06-23,8993
2018-06-30,8725
2018-07-07,9867
2018-07-14,7984
2018-07-21,7446
2018-07-28,6708
2018-08-04,7050
2018-08-11,6950
2018-08-18,6469
2018-08-25,6468
2018-09-01,7027
2018-09-08,7231
2018-09-15,6437
2018-09-22,6182
2018-09-29,6594
2018-10-06,8059
2018-10-13,6981
2018-10-20,7497
2018-10-27,12766
2018-11-03,9521
2018-11-10,10163
2018-11-17,12189
2018-11-24,10168
2018-12-01,18083
2018-12-08,14894
2018-12-15,12892
2018-12-22,14636
2018-12-29,14710
2019-01-05,11838
2019-01-12,12561
2019-01-19,11347
2019-01-26,10695
2019-02-02,10755
2019-02-09,9340
2019-02-16,7520
2019-02-23,7446
2019-03-02,8005
2019-03-09,11573
2019-03-16,7987
2019-03-23,7933
2019-03-30,9230
2019-04-06,8876
2019-04-13,7728
2019-04-20,8141
2019-04-27,7310
2019-05-04,9320
2019-05-11,8836
2019-05-18,7382
2019-05-25,7666
2019-06-01,8551
2019-06-08,10583
2019-06-15,8838
2019-06-22,8100
2019-06-29,8038
2019-07-06,9137
2019-07-13,7249
2019-07-20,7986
2019-07-27,10355
2019-08-03,7546
2019-08-10,7209
2019-08-17,6991
2019-08-24,7376
2019-08-31,11104
2019-09-07,7180
2019-09-14,6614
2019-09-21,6538
2019-09-28,6793
2019-10-05,8465
2019-10-12,7543
2019-10-19,7551
2019-10-26,8307
2019-11-02,10705
2019-11-09,11015
2019-11-16,13989
2019-11-23,11266
2019-11-30,10233
2019-12-07,14798
2019-12-14,15076
2019-12-21,16669
2019-12-28,16537
2020-01-04,11779
2020-01-11,12703
2020-01-18,14807
2020-01-25,9762
2020-02-01,9343
2020-02-08,9794
2020-02-15,8045
2020-02-22,11812
2020-02-29,8980
2020-03-07,8727
2020-03-14,11305
2020-03-21,126716
2020-03-28,185575
2020-04-04,202157
2020-04-11,140787
2020-04-18,118996
2020-04-25,101322
2020-05-02,74476
2020-05-09,72671
2020-05-16,72780
2020-05-23,58263
2020-05-30,46385
2020-06-06,44606
2020-06-13,44694
2020-06-20,46276
2020-06-27,45752
2020-07-04,39015
2020-07-11,38261
2020-07-18,36435
2020-07-25,33230
2020-08-01,25274
2020-08-08,22934
2020-08-15,22406
2020-08-22,26262
2020-08-29,26194
2020-09-05,25478
2020-09-12,27384
2020-09-19,25976
2020-09-26,29390
2020-10-03,36267
2020-10-10,47528
2020-10-17,46948
2020-10-24,53138
2020-10-31,73515
2020-11-07,67381
2020-11-14,46800
2020-11-21,65596
2020-11-28,74131
2020-12-05,107616
2020-12-12,138359
2020-12-19,145054
2020-12-26,110486
2021-01-02,45387
2021-01-09,94944
2021-01-16,95472
2021-01-23,95481
2021-01-30,40008
2021-02-06,34259
2021-02-13,62369
2021-02-20,68383
2021-02-27,68111
2021-03-06,57483
2021-03-13,71175
2021-03-20,15595
2021-03-27,14189
2021-04-03,16182
2021-04-10,18986
2021-04-17,15248
2021-04-24,17141
2021-05-01,15134
2021-05-08,18355
2021-05-15,17530
2021-05-22,19218
2021-05-29,23516
2021-06-05,29231
2021-06-12,28079
2021-06-19,23317
2021-06-26,20460
2021-07-03,20464
2021-07-10,22004
2021-07-17,25919
2021-07-24,18859
2021-07-31,20019
2021-08-07,21449
2021-08-14,18426
2021-08-21,22258
2021-08-28,15546
2021-09-04,15570
2021-09-11,8089
2021-09-18,9366
2021-09-25,8292
2021-10-02,6927
2021-10-09,6902
2021-10-16,7414
2021-10-23,7719
2021-10-30,8472
2021-11-06,10365
2021-11-13,9181
2021-11-20,10606
2021-11-27,10011
2021-12-04,13401
2021-12-11,14572
2021-12-18,13251
2021-12-25,13938
2022-01-01,14209
2022-01-08,16782
2022-01-15,15150
2022-01-22,11817
2022-01-29,10734
2022-02-05,8431
2022-02-12,9919
2022-02-19,10007
2022-02-26,8230
2022-03-05,8491
2022-03-12,9156
2022-03-19,6843
2022-03-26,7526
2022-04-02,8015
2022-04-09,9263
2022-04-16,7569
2022-04-23,7615
2022-04-30,9868
2022-05-07,11093
2022-05-14,12510
2022-05-21,8753
2022-05-28,8593
2022-06-04,9420
2022-06-11,11323
2022-06-18,8728
2022-06-25,7624
2022-07-02,6116
2022-07-09,6932
2022-07-16,7567
2022-07-23,7397
2022-07-30,6364
2022-08-06,6938
2022-08-13,6456
2022-08-20,6884
2022-08-27,6395
2022-09-03,6680
2022-09-10,6302
2022-09-17,6998
2022-09-24,6219
2022-10-01,6711
2022-10-08,7516
2022-10-15,7300
2022-10-22,8316
2022-10-29,8773
2022-11-05,9818
2022-11-12,9584
2022-11-19,16170
2022-11-26,11202
2022-12-03,16285
2022-12-10,16423
2022-12-17,15797
2022-12-24,16686
2022-12-31,13247
2023-01-07,13370
2023-01-14,12133
2023-01-21,9473
2023-01-28,9771
2023-02-04,11304
2023-02-11,9348
2023-02-18,9049
2023-02-25,9376
2023-03-04,8623
2023-03-11,9236
2023-03-18,8151
2023-03-25,7976
2023-04-01,9909
2023-04-08,9500
2023-04-15,8926
