GDP,Inflation,Interest rate
3.6,1.2,3.89
3.8,1,3.96
4.8,1.4,4.03
5.2,1.4,4.12
6.2,1.5,4.18
6.2,1.5,4.2
5.5,1.1,4.19
5.2,1.3,4.17
5.5,1.2,4.2
5.7,1.6,4.21
6.3,1.7,4.25
8.5,1.8,4.48
8.5,2.4,4.77
7.5,2.7,4.78
6,3.3,5.15
4.5,3.6,5
2.9,2.9,4.58
2.6,2.6,4.83
2.7,2.7,5.25
2.7,3,5.64
3.8,3.7,5.61
5.5,4.1,5.75
5.3,4.5,5.46
5,4.6,5.77
4.5,4.9,6.17
3.1,5.5,6.36
3,5.5,6.86
2,5.8,7.31
0.3,6.2,7.38
0.2,6,7.71
0.4,5.7,7.46
-0.2,5.6,6.85
2.7,4.8,6
3.1,4.3,6.25
3,4.3,6.49
4.4,3.5,5.89
3.5,3.5,6.03
5.3,3.2,6.14
5.4,3,6.29
6.9,3.3,6.37
7.6,4.1,6.6
6.3,5.6,6.81
4.8,6.8,7.22
4,8.4,6.76
0.6,9.9,7.06
-0.2,10.5,7.54
-0.6,11.5,7.96
-1.9,12,7.67
-2.3,11.1,7.54
-1.8,9.5,8.05
0.8,8.7,8.29
2.6,7.4,8.06
6.2,6.3,7.75
6.2,6,7.77
5,5.6,7.73
4.3,5.2,7.18
3.2,5.9,7.36
4.5,6.8,7.37
5.8,6.6,7.36
5,6.6,7.6
4.1,6.5,8.01
6.1,7,8.33
5.2,8,8.49
6.7,8.9,8.82
6.5,9.8,9.11
2.7,10.8,9.12
2.4,11.7,9.1
1.3,12.6,10.44
1.4,14.2,11.96
-0.8,14.4,10.48
-1.6,12.9,10.94
0,12.5,12.41
1.6,11.3,12.95
3,9.9,13.74
4.3,10.9,14.84
1.3,9.6,14.12
-2.2,7.6,14.27
-1,6.9,13.94
-2.6,5.8,13.11
-1.4,4.4,10.66
1.4,3.6,10.56
3.3,3.3,10.55
5.7,2.5,11.64
7.9,3.2,11.69
8.6,4.6,11.95
8,4.4,13.21
6.9,4.3,12.87
5.6,4.2,11.76
4.6,3.6,11.59
3.7,3.6,10.82
4.3,3.4,10.34
4.2,3.5,9.77
4.1,3.1,8.57
3.7,1.7,7.6
3.1,1.7,7.31
2.9,1.3,7.26
2.7,2,7.2
3.4,3.7,8.34
3.3,4.2,8.87
4.5,4.4,9.13
4.2,4,8.41
4.5,4,8.91
4.2,4.1,9.1
3.8,4.3,8.96
4.3,4.7,9.21
3.7,5.2,8.76
3.9,4.7,8.11
2.7,4.6,7.91
2.8,5.2,8.42
2.4,4.6,8.67
1.7,5.6,8.7
0.6,6.3,8.41
-1,5.3,8.02
-0.5,4.8,8.13
-0.1,3.9,7.95
1.2,3,7.35
2.9,2.9,7.31
3.2,3.1,7.38
3.7,3.1,6.62
4.4,3.1,6.74
3.3,3.2,6.26
2.8,3.1,5.99
2.3,2.8,5.62
2.6,2.8,5.62
3.4,2.5,6.09
4.2,2.4,7.09
4.3,2.9,7.33
4.1,2.6,7.84
3.5,2.8,7.47
2.4,3.1,6.6
2.7,2.7,6.33
2.2,2.6,5.9
2.6,2.8,5.91
4,2.8,6.71
4,2.9,6.78
4.4,3.2,6.35
4.3,2.9,6.57
4.3,2.3,6.7
4.7,2.2,6.24
4.5,1.9,5.91
4.9,1.5,5.59
4.1,1.6,5.59
4.1,1.6,5.21
4.9,1.5,4.66
4.8,1.7,5
4.7,2.1,5.54
4.7,2.3,5.88
4.8,2.6,6.14
4.2,3.3,6.47
5.3,3.3,6.18
4.1,3.5,5.89
3,3.4,5.57
2.3,3.4,5.04
1.1,3.3,5.28
0.5,2.7,5
0.2,1.9,4.76
1.3,1.2,5.08
1.3,1.3,5.11
2.2,1.6,4.27
2.1,2.3,4
1.8,3,3.92
2,2,3.62
3.3,2.2,4.23
4.3,2,4.29
4.3,1.8,4.01
4.2,2.8,4.6
3.4,2.7,4.3
3.3,3.4,4.18
3.9,3,4.3
3.6,2.9,4.16
3.5,3.8,4.22
3.1,3.7,4.49
3.4,3.7,4.58
3.1,3.9,5.07
2.4,3.3,4.89
2.6,2,4.63
1.5,2.4,4.68
1.8,2.7,4.85
2.2,2.3,4.74
2,4,4.27
1.1,4.1,3.67
1.1,4.3,3.88
0,5.3,3.86
-2.8,1.6,3.23
-3.3,-0.2,2.74
-3.9,-0.9,3.32
-3,-1.6,3.52
0.2,1.5,3.46
1.7,2.4,3.72
2.8,1.8,3.49
3.2,1.2,2.78
2.6,1.2,2.88
1.9,2.1,3.46
1.7,3.3,3.2
0.9,3.7,2.41
1.6,3.3,2.05
2.7,2.8,2.04
2.4,1.9,1.83
2.5,1.7,1.64
1.5,1.9,1.71
1.6,1.7,1.95
1.3,1.4,1.99
1.9,1.5,2.71
2.6,1.2,2.74
1.4,1.4,2.77
2.7,2.1,2.62
3.1,1.8,2.5
2.9,1.2,2.28
4.1,-0.1,1.97
3.5,0,2.16
2.6,0.2,2.22
2.2,0.4,2.19
1.8,1,1.91
1.4,1.1,1.75
1.6,1.2,1.56
2.1,1.8,2.14
2.1,2.5,2.45
2.2,1.9,2.26
2.4,2,2.24
2.7,2.1,2.37
3.1,2.2,2.76
3.3,2.7,2.92
3.1,2.7,2.92
2.5,2.2,3.04
2.3,1.6,2.65
2,1.8,2.34
2.1,1.8,1.8
2.3,2,1.79
0.3,2.1,1.37
-9,0.4,0.69
-2.8,1.3,0.65